image,label,area,perimeter,aspect_ratio,max_diameter,circularity
32348_mask.png,1,1078.0,126.63961030678927,1.4139462492490154,43.60045871318328,0.8446747150418271
32348_mask.png,2,869.0,112.42640687119284,1.314734038016029,37.44329045369811,0.8639586927390005
32348_mask.png,3,408.0,74.76955262170047,1.3394161926447388,26.419689627245813,0.9171079600855944
32348_mask.png,4,1090.0,130.22539674441617,1.4009398373133288,45.27692569068709,0.8076905162513405
32348_mask.png,5,1193.0,132.8111831820431,1.4278366412314658,45.70557952810576,0.8499258068699916
32348_mask.png,6,2925.0,206.65180361560903,1.2331303115786485,67.468511173732,0.8607109622637468
32348_mask.png,7,1496.0,142.12489168102783,1.1072884108271732,45.48626166217664,0.9306816778904881
32348_mask.png,8,682.0,95.84062043356595,1.1159425227731243,30.805843601498726,0.9330287060312197
32348_mask.png,9,684.0,96.66904755831214,1.2339526412047888,32.7566787083184,0.9197950888539714
32348_mask.png,10,615.0,110.9827560572969,1.5542090404971474,41.10960958218893,0.6274425524534325
32348_mask.png,11,469.0,87.07716446627536,1.426576043178556,33.301651610693426,0.7772740162961745
32348_mask.png,12,2113.0,188.88834764831844,1.5000058320704537,62.433965115151864,0.7442160399374134
32348_mask.png,13,1893.0,164.75230867899737,1.3677310915840133,56.859475903318,0.8763900935970803
32348_mask.png,14,589.0,88.66904755831214,1.1157180669383537,28.635642126552707,0.9414149088881538
32348_mask.png,15,2694.0,191.92388155425118,1.0811470057456263,61.40032573203501,0.9190717529920621
32348_mask.png,16,2093.0,172.50966799187808,1.2807440516530106,58.52349955359813,0.883796370452591
32348_mask.png,17,1652.0,150.61017305526642,1.02869590610638,47.67598976424087,0.9151900544864146
32348_mask.png,18,1484.0,148.22539674441617,1.448557602719181,51.19570294468082,0.8487866144673062
32348_mask.png,19,1895.0,165.78174593052023,1.1155814834893016,53.33854141237835,0.8664542975535015
32348_mask.png,20,2597.0,187.92388155425118,1.0356598576421856,58.872744118140105,0.924097648848765
32348_mask.png,21,1253.0,136.12489168102786,1.0634963957544468,43.73785545725808,0.8497395661783778
32348_mask.png,22,895.0,111.15432893255071,1.2694669493365742,38.8329756778952,0.9102907658619194
